human,rat,mouse
PRAMEF12,RGD1559999,Gm13057
PRAMEF12,RGD1559999,Pramel20
PRAMEF12,RGD1559999,Pramel33
PRAMEF12,RGD1559999,Pramel34
PRAMEF12,RGD1559999,Pramel35
PRAMEF12,RGD1559999,Pramel36
PRAMEF12,RGD1559999,Pramel37
PRAMEF12,RGD1559999,Gm6351
PRAMEF12,RGD1559999,Pramel38
PRAMEF12,RGD1559999,Pramel39
PRAMEF12,RGD1559999,Pramel40
PRAMEF12,RGD1559999,AA792892
PRAMEF12,RGD1559999,Pramel41
PRAMEF12,RGD1559999,Pramel41
PRAMEF12,RGD1559999,Pramel42
PRAMEF12,RGD1559999,Pramel43
PRAMEF12,RGD1559999,Pramel44
PRAMEF12,RGD1559999,Gm6205
PRAMEF12,RGD1559999,Gm3183
PRAMEF12,RGD1559999,Gm6367
PRAMEF12,RGD1559999,Pramel45
PRAMEF12,RGD1559999,Pramel45
PRAMEF12,RGD1559999,Pramel45
PRAMEF12,RGD1559999,Pramel45
PRAMEF12,RGD1559999,Gm16513
PRAMEF12,RGD1559999,Pramel46
PRAMEF12,RGD1559999,Pramel47
PRAMEF12,RGD1559999,Pramel48
PRAMEF12,RGD1559999,Gm3286
PRAMEF12,RGD1559999,Pramel49
PRAMEF12,RGD1559999,Pramel50
PRAMEF12,RGD1559999,Gm7982
PRAMEF12,RGD1559999,E330014E10Rik
PRAMEF12,RGD1559999,Pramel7
PRAMEF12,RGD1559999,Pramel6
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,Gm16367
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,
PRAMEF12,AABR07049408.1,Oog1
PRAMEF12,AABR07049408.1,Gm2042
PRAMEF12,AABR07049408.1,Pramel51
PRAMEF12,AABR07049408.1,Pramel32
PRAMEF12,AABR07049408.1,Pramel17
PRAMEF12,AABR07049408.1,C130073F10Rik
PRAMEF12,AABR07049408.1,Pramel18
PRAMEF12,AABR07049408.1,Pramel19
PRAMEF12,AABR07049408.1,Gm12790
PRAMEF12,AABR07049408.1,Gm12789
PRAMEF12,AABR07049408.1,Pramel21
PRAMEF12,AABR07049408.1,Pramel22
PRAMEF12,AABR07049408.1,Pramel23
PRAMEF12,AABR07049408.1,Pramel24
PRAMEF12,AABR07049408.1,Pramel25
PRAMEF12,AABR07049408.1,Pramel26
PRAMEF12,AABR07049408.1,Pramel27
PRAMEF12,AABR07049408.1,Pramel11
PRAMEF12,AABR07049408.1,Pramel16
PRAMEF12,AABR07049408.1,Pramel28
PRAMEF12,AABR07049408.1,Pramel14
PRAMEF12,AABR07049408.1,Pramel4
PRAMEF12,AABR07049408.1,Gm13102
PRAMEF12,AABR07049408.1,Oog3
PRAMEF12,AABR07049408.1,Oog2
PRAMEF12,AABR07049408.1,Pramel29
PRAMEF12,AABR07049408.1,Pramel5
PRAMEF12,AABR07049408.1,Pramel30
PRAMEF12,AABR07049408.1,Pramel31
PRAMEF12,AABR07049408.1,Pramel15
PRAMEF12,AABR07049408.1,Pramel13
PRAMEF12,AABR07049408.1,Pramel1
PRAMEF12,AABR07049408.1,Pramel12
PRAMEF12,AABR07049408.1,Oog4
PRAMEF12,AABR07049408.1,Gm13043
PRAMEF12,AABR07049408.1,Gm13040
PRAMEF12,AABR07049408.1,Gm13057
PRAMEF12,AABR07049408.1,Pramel20
PRAMEF12,AABR07049408.1,Pramel33
PRAMEF12,AABR07049408.1,Pramel34
PRAMEF12,AABR07049408.1,Pramel35
PRAMEF12,AABR07049408.1,Pramel36
PRAMEF12,AABR07049408.1,Pramel37
PRAMEF12,AABR07049408.1,Gm6351
PRAMEF12,AABR07049408.1,Pramel38
PRAMEF12,AABR07049408.1,Pramel39
PRAMEF12,AABR07049408.1,Pramel40
PRAMEF12,AABR07049408.1,AA792892
PRAMEF12,AABR07049408.1,Pramel41
PRAMEF12,AABR07049408.1,Pramel41
PRAMEF12,AABR07049408.1,Pramel42
PRAMEF12,AABR07049408.1,Pramel43
PRAMEF12,AABR07049408.1,Pramel44
PRAMEF12,AABR07049408.1,Gm6205
PRAMEF12,AABR07049408.1,Gm3183
PRAMEF12,AABR07049408.1,Gm6367
PRAMEF12,AABR07049408.1,Pramel45
PRAMEF12,AABR07049408.1,Pramel45
PRAMEF12,AABR07049408.1,Pramel45
PRAMEF12,AABR07049408.1,Pramel45
PRAMEF12,AABR07049408.1,Gm16513
PRAMEF12,AABR07049408.1,Pramel46
PRAMEF12,AABR07049408.1,Pramel47
PRAMEF12,AABR07049408.1,Pramel48
PRAMEF12,AABR07049408.1,Gm3286
PRAMEF12,AABR07049408.1,Pramel49
PRAMEF12,AABR07049408.1,Pramel50
PRAMEF12,AABR07049408.1,Gm7982
PRAMEF12,AABR07049408.1,E330014E10Rik
PRAMEF12,AABR07049408.1,Pramel7
PRAMEF12,AABR07049408.1,Pramel6
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,Gm16367
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,
PRAMEF12,Pramef25,Oog1
PRAMEF12,Pramef25,Gm2042
PRAMEF12,Pramef25,Pramel51
PRAMEF12,Pramef25,Pramel32
PRAMEF12,Pramef25,Pramel17
PRAMEF12,Pramef25,C130073F10Rik
PRAMEF12,Pramef25,Pramel18
PRAMEF12,Pramef25,Pramel19
PRAMEF12,Pramef25,Gm12790
PRAMEF12,Pramef25,Gm12789
PRAMEF12,Pramef25,Pramel21
PRAMEF12,Pramef25,Pramel22
PRAMEF12,Pramef25,Pramel23
PRAMEF12,Pramef25,Pramel24
PRAMEF12,Pramef25,Pramel25
PRAMEF12,Pramef25,Pramel26
PRAMEF12,Pramef25,Pramel27
PRAMEF12,Pramef25,Pramel11
PRAMEF12,Pramef25,Pramel16
PRAMEF12,Pramef25,Pramel28
PRAMEF12,Pramef25,Pramel14
PRAMEF12,Pramef25,Pramel4
PRAMEF12,Pramef25,Gm13102
PRAMEF12,Pramef25,Oog3
PRAMEF12,Pramef25,Oog2
PRAMEF12,Pramef25,Pramel29
PRAMEF12,Pramef25,Pramel5
PRAMEF12,Pramef25,Pramel30
PRAMEF12,Pramef25,Pramel31
PRAMEF12,Pramef25,Pramel15
PRAMEF12,Pramef25,Pramel13
PRAMEF12,Pramef25,Pramel1
PRAMEF12,Pramef25,Pramel12
PRAMEF12,Pramef25,Oog4
PRAMEF12,Pramef25,Gm13043
PRAMEF12,Pramef25,Gm13040
PRAMEF12,Pramef25,Gm13057
PRAMEF12,Pramef25,Pramel20
PRAMEF12,Pramef25,Pramel33
PRAMEF12,Pramef25,Pramel34
PRAMEF12,Pramef25,Pramel35
PRAMEF12,Pramef25,Pramel36
PRAMEF12,Pramef25,Pramel37
PRAMEF12,Pramef25,Gm6351
PRAMEF12,Pramef25,Pramel38
PRAMEF12,Pramef25,Pramel39
PRAMEF12,Pramef25,Pramel40
PRAMEF12,Pramef25,AA792892
PRAMEF12,Pramef25,Pramel41
PRAMEF12,Pramef25,Pramel41
PRAMEF12,Pramef25,Pramel42
PRAMEF12,Pramef25,Pramel43
PRAMEF12,Pramef25,Pramel44
PRAMEF12,Pramef25,Gm6205
PRAMEF12,Pramef25,Gm3183
PRAMEF12,Pramef25,Gm6367
PRAMEF12,Pramef25,Pramel45
PRAMEF12,Pramef25,Pramel45
PRAMEF12,Pramef25,Pramel45
PRAMEF12,Pramef25,Pramel45
PRAMEF12,Pramef25,Gm16513
PRAMEF12,Pramef25,Pramel46
PRAMEF12,Pramef25,Pramel47
PRAMEF12,Pramef25,Pramel48
PRAMEF12,Pramef25,Gm3286
PRAMEF12,Pramef25,Pramel49
PRAMEF12,Pramef25,Pramel50
PRAMEF12,Pramef25,Gm7982
PRAMEF12,Pramef25,E330014E10Rik
PRAMEF12,Pramef25,Pramel7
PRAMEF12,Pramef25,Pramel6
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,Gm16367
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,
PRAMEF12,LOC685907,Oog1
PRAMEF12,LOC685907,Gm2042
PRAMEF12,LOC685907,Pramel51
PRAMEF12,LOC685907,Pramel32
PRAMEF12,LOC685907,Pramel17
PRAMEF12,LOC685907,C130073F10Rik
PRAMEF12,LOC685907,Pramel18
PRAMEF12,LOC685907,Pramel19
PRAMEF12,LOC685907,Gm12790
PRAMEF12,LOC685907,Gm12789
PRAMEF12,LOC685907,Pramel21
PRAMEF12,LOC685907,Pramel22
PRAMEF12,LOC685907,Pramel23
PRAMEF12,LOC685907,Pramel24
PRAMEF12,LOC685907,Pramel25
PRAMEF12,LOC685907,Pramel26
PRAMEF12,LOC685907,Pramel27
PRAMEF12,LOC685907,Pramel11
PRAMEF12,LOC685907,Pramel16
PRAMEF12,LOC685907,Pramel28
PRAMEF12,LOC685907,Pramel14
PRAMEF12,LOC685907,Pramel4
PRAMEF12,LOC685907,Gm13102
PRAMEF12,LOC685907,Oog3
PRAMEF12,LOC685907,Oog2
PRAMEF12,LOC685907,Pramel29
PRAMEF12,LOC685907,Pramel5
PRAMEF12,LOC685907,Pramel30
PRAMEF12,LOC685907,Pramel31
PRAMEF12,LOC685907,Pramel15
PRAMEF12,LOC685907,Pramel13
PRAMEF12,LOC685907,Pramel1
PRAMEF12,LOC685907,Pramel12
PRAMEF12,LOC685907,Oog4
PRAMEF12,LOC685907,Gm13043
PRAMEF12,LOC685907,Gm13040
PRAMEF12,LOC685907,Gm13057
PRAMEF12,LOC685907,Pramel20
PRAMEF12,LOC685907,Pramel33
PRAMEF12,LOC685907,Pramel34
PRAMEF12,LOC685907,Pramel35
PRAMEF12,LOC685907,Pramel36
PRAMEF12,LOC685907,Pramel37
PRAMEF12,LOC685907,Gm6351
PRAMEF12,LOC685907,Pramel38
PRAMEF12,LOC685907,Pramel39
PRAMEF12,LOC685907,Pramel40
PRAMEF12,LOC685907,AA792892
PRAMEF12,LOC685907,Pramel41
PRAMEF12,LOC685907,Pramel41
PRAMEF12,LOC685907,Pramel42
PRAMEF12,LOC685907,Pramel43
PRAMEF12,LOC685907,Pramel44
PRAMEF12,LOC685907,Gm6205
PRAMEF12,LOC685907,Gm3183
PRAMEF12,LOC685907,Gm6367
PRAMEF12,LOC685907,Pramel45
PRAMEF12,LOC685907,Pramel45
PRAMEF12,LOC685907,Pramel45
PRAMEF12,LOC685907,Pramel45
PRAMEF12,LOC685907,Gm16513
PRAMEF12,LOC685907,Pramel46
PRAMEF12,LOC685907,Pramel47
PRAMEF12,LOC685907,Pramel48
PRAMEF12,LOC685907,Gm3286
PRAMEF12,LOC685907,Pramel49
PRAMEF12,LOC685907,Pramel50
PRAMEF12,LOC685907,Gm7982
PRAMEF12,LOC685907,E330014E10Rik
PRAMEF12,LOC685907,Pramel7
PRAMEF12,LOC685907,Pramel6
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,Gm16367
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,
PRAMEF12,Pramef8,Oog1
PRAMEF12,Pramef8,Gm2042
PRAMEF12,Pramef8,Pramel51
PRAMEF12,Pramef8,Pramel32
PRAMEF12,Pramef8,Pramel17
PRAMEF12,Pramef8,C130073F10Rik
PRAMEF12,Pramef8,Pramel18
PRAMEF12,Pramef8,Pramel19
PRAMEF12,Pramef8,Gm12790
PRAMEF12,Pramef8,Gm12789
PRAMEF12,Pramef8,Pramel21
PRAMEF12,Pramef8,Pramel22
PRAMEF12,Pramef8,Pramel23
PRAMEF12,Pramef8,Pramel24
PRAMEF12,Pramef8,Pramel25
PRAMEF12,Pramef8,Pramel26
PRAMEF12,Pramef8,Pramel27
PRAMEF12,Pramef8,Pramel11
PRAMEF12,Pramef8,Pramel16
PRAMEF12,Pramef8,Pramel28
PRAMEF12,Pramef8,Pramel14
PRAMEF12,Pramef8,Pramel4
PRAMEF12,Pramef8,Gm13102
PRAMEF12,Pramef8,Oog3
PRAMEF12,Pramef8,Oog2
PRAMEF12,Pramef8,Pramel29
PRAMEF12,Pramef8,Pramel5
PRAMEF12,Pramef8,Pramel30
PRAMEF12,Pramef8,Pramel31
PRAMEF12,Pramef8,Pramel15
PRAMEF12,Pramef8,Pramel13
PRAMEF12,Pramef8,Pramel1
PRAMEF12,Pramef8,Pramel12
PRAMEF12,Pramef8,Oog4
PRAMEF12,Pramef8,Gm13043
PRAMEF12,Pramef8,Gm13040
PRAMEF12,Pramef8,Gm13057
PRAMEF12,Pramef8,Pramel20
PRAMEF12,Pramef8,Pramel33
PRAMEF12,Pramef8,Pramel34
PRAMEF12,Pramef8,Pramel35
PRAMEF12,Pramef8,Pramel36
PRAMEF12,Pramef8,Pramel37
PRAMEF12,Pramef8,Gm6351
PRAMEF12,Pramef8,Pramel38
PRAMEF12,Pramef8,Pramel39
PRAMEF12,Pramef8,Pramel40
PRAMEF12,Pramef8,AA792892
PRAMEF12,Pramef8,Pramel41
PRAMEF12,Pramef8,Pramel41
PRAMEF12,Pramef8,Pramel42
PRAMEF12,Pramef8,Pramel43
PRAMEF12,Pramef8,Pramel44
PRAMEF12,Pramef8,Gm6205
PRAMEF12,Pramef8,Gm3183
PRAMEF12,Pramef8,Gm6367
PRAMEF12,Pramef8,Pramel45
PRAMEF12,Pramef8,Pramel45
PRAMEF12,Pramef8,Pramel45
PRAMEF12,Pramef8,Pramel45
PRAMEF12,Pramef8,Gm16513
PRAMEF12,Pramef8,Pramel46
PRAMEF12,Pramef8,Pramel47
PRAMEF12,Pramef8,Pramel48
PRAMEF12,Pramef8,Gm3286
PRAMEF12,Pramef8,Pramel49
PRAMEF12,Pramef8,Pramel50
PRAMEF12,Pramef8,Gm7982
PRAMEF12,Pramef8,E330014E10Rik
PRAMEF12,Pramef8,Pramel7
PRAMEF12,Pramef8,Pramel6
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,Gm16367
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,
PRAMEF12,Oog3,Oog1
PRAMEF12,Oog3,Gm2042
PRAMEF12,Oog3,Pramel51
PRAMEF12,Oog3,Pramel32
PRAMEF12,Oog3,Pramel17
PRAMEF12,Oog3,C130073F10Rik
PRAMEF12,Oog3,Pramel18
PRAMEF12,Oog3,Pramel19
PRAMEF12,Oog3,Gm12790
PRAMEF12,Oog3,Gm12789
PRAMEF12,Oog3,Pramel21
PRAMEF12,Oog3,Pramel22
PRAMEF12,Oog3,Pramel23
PRAMEF12,Oog3,Pramel24
PRAMEF12,Oog3,Pramel25
PRAMEF12,Oog3,Pramel26
PRAMEF12,Oog3,Pramel27
PRAMEF12,Oog3,Pramel11
PRAMEF12,Oog3,Pramel16
PRAMEF12,Oog3,Pramel28
PRAMEF12,Oog3,Pramel14
PRAMEF12,Oog3,Pramel4
PRAMEF12,Oog3,Gm13102
PRAMEF12,Oog3,Oog3
PRAMEF12,Oog3,Oog2
PRAMEF12,Oog3,Pramel29
PRAMEF12,Oog3,Pramel5
PRAMEF12,Oog3,Pramel30
PRAMEF12,Oog3,Pramel31
PRAMEF12,Oog3,Pramel15
PRAMEF12,Oog3,Pramel13
PRAMEF12,Oog3,Pramel1
PRAMEF12,Oog3,Pramel12
PRAMEF12,Oog3,Oog4
PRAMEF12,Oog3,Gm13043
PRAMEF12,Oog3,Gm13040
PRAMEF12,Oog3,Gm13057
PRAMEF12,Oog3,Pramel20
PRAMEF12,Oog3,Pramel33
PRAMEF12,Oog3,Pramel34
PRAMEF12,Oog3,Pramel35
PRAMEF12,Oog3,Pramel36
PRAMEF12,Oog3,Pramel37
PRAMEF12,Oog3,Gm6351
PRAMEF12,Oog3,Pramel38
PRAMEF12,Oog3,Pramel39
PRAMEF12,Oog3,Pramel40
PRAMEF12,Oog3,AA792892
PRAMEF12,Oog3,Pramel41
PRAMEF12,Oog3,Pramel41
PRAMEF12,Oog3,Pramel42
PRAMEF12,Oog3,Pramel43
PRAMEF12,Oog3,Pramel44
PRAMEF12,Oog3,Gm6205
PRAMEF12,Oog3,Gm3183
PRAMEF12,Oog3,Gm6367
PRAMEF12,Oog3,Pramel45
PRAMEF12,Oog3,Pramel45
PRAMEF12,Oog3,Pramel45
PRAMEF12,Oog3,Pramel45
PRAMEF12,Oog3,Gm16513
PRAMEF12,Oog3,Pramel46
PRAMEF12,Oog3,Pramel47
PRAMEF12,Oog3,Pramel48
PRAMEF12,Oog3,Gm3286
PRAMEF12,Oog3,Pramel49
PRAMEF12,Oog3,Pramel50
PRAMEF12,Oog3,Gm7982
PRAMEF12,Oog3,E330014E10Rik
PRAMEF12,Oog3,Pramel7
PRAMEF12,Oog3,Pramel6
GPR146,Gpr146,Gpr146
GDF9,Gdf9,Gdf9
RHOV,Rhov,Rhov
BORA,Bora,Bora
TBC1D21,Tbc1d21,Tbc1d21
DOLPP1,Dolpp1,Dolpp1
CRLF1,Crlf1,Crlf1
NPL,Npl,Npl
SMCO1,LOC100911042,Smco1
MRPL22,Mrpl22,Mrpl22
NPR1,Npr1,Npr1
TMCO1,Tmco1,Tmco1
UBAC1,Ubac1,Ubac1
RAB26,Rab26,Rab26
AKAP1,Akap1,Akap1
ROBO4,Robo4,Robo4
ROBO4,LOC100911068,Robo4
IFNLR1,Ifnlr1,Ifnlr1
MIXL1,NEWGENE_1310011,Mixl1
MIXL1,NEWGENE_1310011,Mixl1
MIXL1,Mixl1,Mixl1
MIXL1,Mixl1,Mixl1
MIXL1,Mixl1,Mixl1
ELAVL1,Elavl1,Elavl1
ZBTB43,Zbtb43,Zbtb43
TBX19,Tbx19,Tbx19
ABCD1,Abcd1,Abcd1
IGHV4-59,AABR07065781.1,Ighv3-1
IGHV4-59,AABR07065781.1,Ighv3-3
IGHV4-59,AABR07065781.1,Ighv3-4
IGHV4-59,AABR07065781.1,Ighv3-5
IGHV4-59,AABR07065781.1,Ighv3-6
IGHV4-59,AABR07065781.1,Ighv3-8
IGHV4-59,AABR07065781.1,Ighv12-3
IGHV4-59,AABR07065790.1,Ighv3-1
IGHV4-59,AABR07065790.1,Ighv3-3
IGHV4-59,AABR07065790.1,Ighv3-4
IGHV4-59,AABR07065790.1,Ighv3-5
IGHV4-59,AABR07065790.1,Ighv3-6
IGHV4-59,AABR07065790.1,Ighv3-8
IGHV4-59,AABR07065790.1,Ighv12-3
FKBP4,Fkbp4,Fkbp4
RNU1-22P,U1,Gm22979
SYNGR3,Syngr3,Syngr3
TUFT1,Tuft1,Tuft1
IGFBP1,Igfbp1,Igfbp1
RASGRP3,Rasgrp3,Rasgrp3
NAGA,Naga,Naga
PAK1IP1,Pak1ip1,Pak1ip1
TFF1,Tff1,Tff1
MFSD4B,Naglt1,Mfsd4b4
MFSD4B,Naglt1,Mfsd4b5
MFSD4B,Naglt1,Mfsd4b1
NHLRC2,Nhlrc2,Nhlrc2
HNRNPH1,Hnrnph1,Hnrnph1
FAM76A,Fam76a,Fam76a
OR10G8,Olr1334,Olfr978
OR10G8,Olr1334,Olfr979
OR10G8,Olr1334,Olfr980
PTX4,Ptx4,Ptx4
APP,App,App
GATC,Gatc,Gatc
TEX12,Tex12,Tex12
GRIN2A,Grin2a,Grin2a
MGAM,Mgam,Mgam
TBCE,Tbce,Tbce
TEX13D,AABR07041403.1,Tex13c2
TEX13D,AABR07041403.1,Tex13c1
TEX13D,Tex13c,Tex13c2
TEX13D,Tex13c,Tex13c1
HSPB8,Hspb8,Hspb8
PABPN1L,Pabpn1l,Pabpn1l
LPP,Lpp,Lpp
MFSD3,Mfsd3,Mfsd3
NDUFAB1,Ndufab1,Ndufab1
OR8G3P,Olr1325,Olfr971
OR8G3P,Olr1325,Olfr229
OR8G3P,Olr1328,Olfr971
OR8G3P,Olr1328,Olfr229
AP5B1,Ap5b1,Ap5b1
MED23,Med23,Med23
EGR4,Egr4,Egr4
TRIM27,Trim27,Trim27
PDGFRL,Pdgfrl,Pdgfrl
SCAMP5,Scamp5,Scamp5
,Prim1,Prim1
SLC35A1,Slc35a1,Slc35a1
COLGALT2,Colgalt2,Colgalt2
TIMD4,AABR07072096.1,Timd4
SH2D1B,Sh2d1b,Sh2d1b2
SH2D1B,Sh2d1b,Sh2d1b1
RPS6KA2,Rps6ka2,Rps6ka2
HYAL4,Hyal4,Hyal4
CTSW,Ctsw,Ctsw
CDA,LOC100909857,Cda
HOMER3,Homer3,Homer3
DDX20,Ddx20,Ddx20
PKD2L1,Pkd2l1,Pkd2l1
MPPED2,Mpped2,Mpped2
GLB1,Glb1,Glb1
MOGAT1,Mogat1,Mogat1
ETAA1,Etaa1,Etaa1
ETAA1,Etaa1,Etaa1
SRGAP2B,Srgap2,Srgap2
RPS6KA1,Rps6ka1,Rps6ka1
,Atp1a3,Atp1a3
UBXN2B,Ubxn2b,Ubxn2b
OR5G3,Olr444,Olfr996
OR5G3,Olr444,Olfr998
OR5G3,Olr444,Olfr1000
OR5G3,Olr444,Olfr1001-ps1
OR5G3,Olr446,Olfr996
OR5G3,Olr446,Olfr998
OR5G3,Olr446,Olfr1000
OR5G3,Olr446,Olfr1001-ps1
NUDT5,Nudt5,Nudt5
RALGAPB,Ralgapb,Ralgapb
MIR671,Mir671,Mir671
ANXA3,Anxa3,Anxa3
CELF3,Celf3,Celf3
KCNMB3,Kcnmb3,Kcnmb3
TXNDC16,Txndc16,Txndc16
CYCS,AC128290.1,Gm10053
CYCS,AC128290.1,Cycs
CYCS,LOC100363502,Gm10053
CYCS,LOC100363502,Cycs
SLC47A1,Slc47a1,Slc47a1
DEFB116,Defb29,Defb29
EIF1,AABR07054186.1,NA
PADI6,Padi6,Padi6
RPS17,AABR07059162.1,NA
TOM1,Tom1,Tom1
H2BC13,Hist1h2bl,NA
GDPD1,Gdpd1,Gdpd1
C18orf63,LOC100359752,Gm17266
SLC4A7,Slc4a7,Slc4a7
RBM34,Rbm34,Rbm34
TMEM235,Tmem235,Tmem235
G0S2,G0s2,G0s2
PRG2,Prg2,Prg2
PRADC1,Pradc1,Pradc1
MIR101-2,Mir101-2,NA
UTP4,Utp4,Utp4
ARHGEF33,Arhgef33,Arhgef33
NLRP9,Nlrp9,Nlrp9c
NLRP9,Nlrp9,Nlrp9a
NLRP9,Nlrp9,Nlrp9b
LRRC6,Lrrc6,Lrrc6
OR13C7,AABR07048059.1,Olfr156
OR13C7,AABR07048059.1,Olfr157
OR13C7,Olr838,Olfr156
OR13C7,Olr838,Olfr157
STAM2,Stam2,Stam2
GABRG2,Gabrg2,Gabrg2
FAM227A,Fam227a,Fam227a
ATP5F1E,Atp5f1e,Atp5e
NAPSA,Napsa,Napsa
AP1S1,Ap1s1,Ap1s1
APLN,Apln,Apln
PSMD9,Psmd9,Psmd9
DEFA1B,Defa8,AY761185
DEFA1B,Defa8,Defa21
DEFA1B,Defa8,Defa23
DEFA1B,Defa8,Defa35
DEFA1B,Defa8,Defa25
DEFA1B,Defa8,Defa38
DEFA1B,Defa8,Defa30
DEFA1B,Defa8,Defa22
DEFA1B,Defa8,Defa31
DEFA1B,Defa8,Defa41
DEFA1B,Defa8,Defa40
DEFA1B,Defa8,Defa3
DEFA1B,Defa8,Defa5
DEFA1B,Defa8,Defa27
DEFA1B,Defa8,Defa29
DEFA1B,Defa8,Defa2
DEFA1B,Defa8,Defa33
DEFA1B,Defa8,Defa36
DEFA1B,Defa8,Defa42
DEFA1B,Defa8,Defa20
DEFA1B,Defa8,Defa32
DEFA1B,Defa8,Defa37
DEFA1B,Defa8,Defa28
DEFA1B,Defa8,Defa43
DEFA1B,Defa8,Defa26
DEFA1B,Defa8,Defa17
DEFA1B,Defa8,Defa34
DEFA1B,Defa8,Defa39
DEFA1B,Defa8,Defa24
DEFA1B,Defa11,AY761185
DEFA1B,Defa11,Defa21
DEFA1B,Defa11,Defa23
DEFA1B,Defa11,Defa35
DEFA1B,Defa11,Defa25
DEFA1B,Defa11,Defa38
DEFA1B,Defa11,Defa30
DEFA1B,Defa11,Defa22
DEFA1B,Defa11,Defa31
DEFA1B,Defa11,Defa41
DEFA1B,Defa11,Defa40
DEFA1B,Defa11,Defa3
